ds,yhat,yhat_lower,yhat_upper,Category
2016-01-11,13.749794627671521,8.88012466885614,18.359979437014328,Camping & Hiking
2016-01-12,14.135256492232333,9.767539595382692,19.01999202416349,Camping & Hiking
2016-01-13,13.608039429549084,8.700481063887,18.62035542768433,Camping & Hiking
2016-01-14,13.839031383607137,9.24594670079816,18.729923807955988,Camping & Hiking
2016-01-15,13.71259616418804,8.925638223812154,18.615548968486873,Camping & Hiking
2016-01-16,13.911317740528904,9.662716106292422,18.68099130687372,Camping & Hiking
2016-01-17,13.966627649216345,8.93693698237456,18.65280418877097,Camping & Hiking
2016-01-18,13.647811623679463,8.817845693662091,18.3584098035616,Camping & Hiking
2016-01-19,13.97193496164399,9.261938619844956,18.634259346107598,Camping & Hiking
2016-01-20,13.390081132282221,8.789956599667356,17.987069747239467,Camping & Hiking
2016-01-21,13.574956301437645,9.095811394873856,18.279543849386943,Camping & Hiking
2016-01-22,13.411611401410381,8.628962595266383,18.068764102051045,Camping & Hiking
2016-01-23,13.58368875651578,8.93090443773573,18.13643176821806,Camping & Hiking
2016-01-24,13.623045530243788,8.915924015391427,18.165537942866266,Camping & Hiking
2016-01-25,13.299207984343663,8.509029898745768,17.81562715904799,Camping & Hiking
2016-01-26,13.629627427307307,9.127556778746087,18.47226460960372,Camping & Hiking
2016-01-27,13.064636259522219,8.255560210009314,17.546612006662343,Camping & Hiking
2016-01-28,13.277001822969291,8.40515554241982,17.910955693121338,Camping & Hiking
2016-01-29,13.150639623994822,8.775548137029574,17.888712599805512,Camping & Hiking
2016-01-30,13.368426977216995,8.286883097453062,17.901669739248216,Camping & Hiking
2016-01-31,13.460853189149715,8.673755322039744,18.234005956828497,Camping & Hiking
2016-02-01,13.195974055483427,8.642272501456645,17.779076983559996,Camping & Hiking
2016-02-02,13.59004295521968,8.396402579592982,18.303303624512385,Camping & Hiking
2016-02-03,13.091223836601827,8.46569301152623,17.690333508806255,Camping & Hiking
2016-02-04,13.371133370103214,8.758805974209471,18.164960612270185,Camping & Hiking
2016-02-05,13.3115773534394,8.549792860841084,17.996329495336163,Camping & Hiking
2016-02-06,13.593950757558172,8.822290542626195,18.678338135503587,Camping & Hiking
2016-02-07,13.746939548681002,9.641270076060579,18.42923451070294,Camping & Hiking
2016-02-08,13.536984159726718,8.472984844316537,18.231745439600754,Camping & Hiking
2016-02-09,13.979289020999865,9.414117575484456,18.918704453069907,Camping & Hiking
2016-02-10,13.520288005351153,8.533363017008668,18.33008465104029,Camping & Hiking
2016-02-11,13.831162757764467,9.23049640179238,18.467349071783165,Camping & Hiking
2016-02-12,13.792582846962725,8.94008386020631,18.49637385293566,Camping & Hiking
2016-02-13,14.08566600444841,9.355260849114211,18.51476885393459,Camping & Hiking
2016-02-14,14.23869932245689,9.454384439914696,19.064002454102287,Camping & Hiking
2016-02-15,14.018074267825385,9.028086614672647,18.592479081944077,Camping & Hiking
2016-02-16,14.439633071918177,9.474509845931697,19.206161155723027,Camping & Hiking
2016-02-17,13.949842046702047,9.148770287946812,18.568796434771198,Camping & Hiking
2016-02-18,14.221239705415465,9.458578737704519,18.802890162853803,Camping & Hiking
2016-02-19,14.135133737207534,9.561912528413943,18.623629193031732,Camping & Hiking
2016-02-20,14.374075247236778,9.763243172097685,19.25843420008025,Camping & Hiking
2016-02-21,14.467555114769691,10.027399914819567,19.35199427870322,Camping & Hiking
2016-02-22,14.183369495321054,9.638637330559717,18.777007108944122,Camping & Hiking
2016-02-23,14.539266270542676,9.737203058035941,19.4134087681021,Camping & Hiking
2016-02-24,13.982794662155891,8.844616107994284,18.208041983175907,Camping & Hiking
2016-02-25,14.188657618953485,9.720355543301553,19.039553533780797,Camping & Hiking
2016-02-26,14.039346790837303,9.25211200691964,18.618052467949145,Camping & Hiking
2016-02-27,14.219119109943364,9.626368569357032,18.6619359926013,Camping & Hiking
2016-02-28,14.258664076093819,9.517980100906255,18.918582488353497,Camping & Hiking
2016-02-29,13.926902998288352,9.096259194988363,18.81864778766799,Camping & Hiking
2016-03-01,14.242946089014431,9.495661521036693,18.852974315111577,Camping & Hiking
2016-03-02,13.654635940987221,8.654821420332478,18.05206034030676,Camping & Hiking
2016-03-03,13.837828184696873,8.713152682270517,18.426270937253467,Camping & Hiking
2016-03-04,13.674994184514597,9.053071338937562,18.39378885299019,Camping & Hiking
2016-03-05,13.850734534439358,9.18485033827943,18.699378783905217,Camping & Hiking
2016-03-06,13.895455694902264,9.086441789088248,18.764652522169875,Camping & Hiking
2016-03-07,13.577644151112079,9.138998398323457,18.09503170703953,Camping & Hiking
2016-03-08,13.916176917595802,9.585797373892236,18.23249997851074,Camping & Hiking
2016-03-09,13.357602033063806,9.119337758525468,18.415389335740254,Camping & Hiking
2016-03-10,13.577389833758563,8.897336065221394,18.446151518384813,Camping & Hiking
2016-03-11,13.456543742785632,8.820832916514973,18.30361560209635,Camping & Hiking
2016-03-12,13.678687977924476,8.56589547948175,18.357853214377815,Camping & Hiking
2016-03-13,13.772786762861841,9.309380419765455,18.6550864776252,Camping & Hiking
2016-03-14,13.505921674616157,8.649131995041747,18.048206124762267,Camping & Hiking
2016-03-15,13.895978152233724,9.41257857357861,18.61074885362683,Camping & Hiking
2016-03-16,13.387679366296044,8.754560283946411,18.310025396322253,Camping & Hiking
2016-03-17,13.65581785097883,9.114649543404235,18.40630027408303,Camping & Hiking
2016-03-18,13.5798773319016,8.997706787030054,18.110220160947218,Camping & Hiking
2016-03-19,13.842690805540117,9.1972022493953,18.573171230457913,Camping & Hiking
2016-03-20,13.972191904161926,9.109201082660956,18.613640847883843,Camping & Hiking
2016-03-21,13.73467882324909,8.931440322821578,18.689568467793446,Camping & Hiking
2016-03-22,14.14785460199964,9.429396243659948,18.86434913122529,Camping & Hiking
2016-03-23,13.65558723239583,8.932575113257673,18.635451536290244,Camping & Hiking
2016-03-24,13.933090466134077,9.250163690481207,18.773263268367828,Camping & Hiking
2016-03-25,13.859522409515291,8.968222233615652,18.407066776272035,Camping & Hiking
2016-03-26,14.118177655088132,9.29214643435182,18.995740600412738,Camping & Hiking
2016-03-27,14.237233521867081,9.53565680564288,18.91614357853441,Camping & Hiking
2016-03-28,13.98346341971039,9.465979557808254,18.609210715925453,Camping & Hiking
2016-03-29,14.375594996445361,9.664313672849037,18.83879390697005,Camping & Hiking
2016-03-30,13.857762838245208,9.439950600914766,18.61382365132304,Camping & Hiking
2016-03-31,14.106608030865864,9.262508175558647,19.074954072662266,Camping & Hiking
2016-04-01,14.001827172500988,9.45341436420688,18.769618038760406,Camping & Hiking
2016-04-02,14.227877010555343,9.74123674576384,18.994688875331956,Camping & Hiking
2016-04-03,14.31369937207284,9.5549095653104,19.108473183278438,Camping & Hiking
2016-04-04,14.026873569786078,9.146279081271716,19.078279537052346,Camping & Hiking
2016-04-05,14.387288003088237,9.861315576350359,19.051430456654035,Camping & Hiking
2016-04-06,13.839287095464742,9.339311757061946,19.11070071481604,Camping & Hiking
2016-04-07,14.060697169273219,9.68417891966563,18.63702960152749,Camping & Hiking
2016-04-08,13.931339028862864,9.087165181366661,18.37227095618504,Camping & Hiking
2016-04-09,14.13626337785821,9.735819939750064,18.837584217504542,Camping & Hiking
2016-04-10,14.204477203077683,9.361261678026718,18.95290737287325,Camping & Hiking
2016-04-11,13.903561707600662,9.115592693577323,18.526784004928267,Camping & Hiking
2016-04-12,14.2536867196848,9.602232650012565,18.69007965894236,Camping & Hiking
2016-04-13,13.69848312603992,9.277364475730886,18.61660457707529,Camping & Hiking
2016-04-14,13.916027231884096,9.313169405292426,18.635121390030893,Camping & Hiking
2016-04-15,13.785348977043851,8.950142283404931,18.692804884203905,Camping & Hiking
2016-04-16,13.991229077281293,9.05908879647716,18.547679737947977,Camping & Hiking
2016-04-17,14.061955716677168,9.640158553063817,18.76035718756205,Camping & Hiking
2016-04-18,13.764433874697799,9.271863083089501,18.703618706694584,Camping & Hiking
2016-04-19,14.118564619633904,9.456129737326515,19.02877782026349,Camping & Hiking
2016-04-20,13.566860642546485,8.894617427868122,17.95391911211911,Camping & Hiking
2016-04-21,13.787401695666727,8.988982660369961,18.706858924376803,Camping & Hiking
2016-04-22,13.6583456402644,9.295781435512295,18.438099120467736,Camping & Hiking
2016-04-23,13.8642889026765,9.368674532110914,18.66125470305896,Camping & Hiking
2016-04-24,13.933049418795513,9.467660885400878,18.865648007845397,Camping & Hiking
2016-04-25,13.631257788643106,8.918226173639113,18.5358245819552,Camping & Hiking
2016-04-26,13.979086686314579,9.683769456398807,18.61559839200423,Camping & Hiking
2016-04-27,13.418589995392896,8.523123550344094,18.023478878232762,Camping & Hiking
2016-04-28,13.628605713787104,8.577448975398928,18.425979374535803,Camping & Hiking
2016-04-29,13.48724285488192,8.750046955767198,18.019456931914505,Camping & Hiking
2016-04-30,13.679775728319704,8.970337894264409,18.46794596749518,Camping & Hiking
2016-05-01,13.734422067081397,8.80660575429675,18.681731989779554,Camping & Hiking
2016-05-02,13.41838434745521,8.521030720484273,18.05031997525126,Camping & Hiking
2016-05-03,13.752898068677908,9.016017908842219,18.566082617202916,Camping & Hiking
2016-05-04,13.180264658023157,8.528226144033646,17.83872429473186,Camping & Hiking
2016-05-05,13.380674387271515,8.973182062716923,18.43056832581799,Camping & Hiking
2016-05-06,13.2326449431397,8.822802200214069,17.9638108206747,Camping & Hiking
2016-05-07,13.422429416449264,8.815890847339855,17.850062641970506,Camping & Hiking
2016-05-08,13.478774244212481,8.80242905209511,18.317209164626405,Camping & Hiking
2016-05-09,13.169400613790161,8.59652946327243,17.670602632541133,Camping & Hiking
2016-05-10,13.51636719877644,8.620708507567281,18.21719193506137,Camping & Hiking
2016-05-11,12.961798299715296,8.144217451235608,17.94932560824607,Camping & Hiking
2016-05-12,13.186634153097048,8.065014219736682,17.842719344376576,Camping & Hiking
2016-05-13,13.069034322106285,8.79614297442159,17.755473852129622,Camping & Hiking
2016-05-14,13.295317998311836,8.518514295180177,17.71292032333582,Camping & Hiking
2016-05-15,13.393725328198355,8.883940347440188,18.063655734247234,Camping & Hiking
2016-05-16,13.131366797997789,8.41685742402703,17.674714882219096,Camping & Hiking
2016-05-17,13.529931874221083,8.970987439125183,18.18470787501111,Camping & Hiking
2016-05-18,13.030146492342919,8.39962710518585,18.093706399764326,Camping & Hiking
2016-05-19,13.312486558538344,8.084657839199664,18.020748175562385,Camping & Hiking
2016-05-20,13.253582613044285,8.202785118050421,18.061825870051944,Camping & Hiking
2016-05-21,13.538728483145382,9.06083008789288,18.166558390209243,Camping & Hiking
2016-05-22,13.694680555038666,9.200121009263777,18.371498624536933,Camping & Hiking
2016-05-23,13.487107190058852,8.9468043577164,18.1556904440421,Camping & Hiking
2016-05-24,13.936671840677464,9.002625639505256,18.829904095874358,Camping & Hiking
2016-05-25,13.482244099235615,8.711796514245853,18.371269421485167,Camping & Hiking
2016-05-26,13.803595483804626,9.13068870413268,18.22272342922711,Camping & Hiking
2016-05-27,13.775818722566333,8.980697704739807,18.602652403706692,Camping & Hiking
2016-05-28,14.083411899578657,9.51250253485327,18.59300250386873,Camping & Hiking
2016-05-29,14.252116315168564,9.158184682809356,19.03013030516503,Camping & Hiking
2016-05-30,14.046859969229018,9.0822224646264,18.689645599812764,Camping & Hiking
2016-05-31,14.488202656573637,9.886374245890744,18.957404962235064,Camping & Hiking
2016-06-01,14.014281811181634,9.575692594821628,18.670774921083087,Camping & Hiking
2016-06-02,14.305465981553658,9.381800120270011,18.954950365849967,Camping & Hiking
2016-06-03,14.236758918622893,9.66615268761262,18.964808691038723,Camping & Hiking
2016-06-04,14.493424931881925,9.775844394716154,19.154598337736545,Camping & Hiking
